name,brand_name,price,rating,ram,ram_GB,rom_gb,expand_rom,display,display_size,display_type,camera,rear_camera,front_camera,battery,battery_mAh,processor,processor_name
"REDMI Note 14 SE 5G (Crimson Art, 128 GB)",redmi,14999,4.1,6 GB RAM | 128 GB ROM,6,128,0,16.94 cm (6.67 inch) Full HD+ Display,16.94,Full HD+ Display,50MP + 8MP + 2MP | 20MP Front Camera,50MP + 8MP + 2MP ,20MP,5110 mAh Battery,5110 ,Dimensity 7025 Ultra Processor,Dimensity 7025 Ultra 
"REDMI Note 14 SE 5G (Titan Black, 128 GB)",redmi,14999,4.1,6 GB RAM | 128 GB ROM,6,128,0,16.94 cm (6.67 inch) Full HD+ Display,16.94,Full HD+ Display,50MP + 8MP + 2MP | 20MP Front Camera,50MP + 8MP + 2MP ,20MP,5110 mAh Battery,5110 ,Dimensity 7025 Ultra Processor,Dimensity 7025 Ultra 
"POCO M6 Plus 5G (Ice Silver, 128 GB)",poco,9999,4.2,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,6,128,1024,17.25 cm (6.79 inch) Full HD+ Display,17.25,Full HD+ Display,108MP + 2MP | 13MP Front Camera,108MP + 2MP ,13MP,5030 mAh Battery,5030 ,Snapdragon 4 Gen2 AE Processor,Snapdragon 4 Gen2 AE 
"vivo T4 Lite 5G Charger in the Box (Prism Blue, 128 GB)",vivo,10999,4.4,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,6,128,2048,17.12 cm (6.74 inch) HD+ Display,17.12,HD+ Display,50MP + 2MP | 5MP Front Camera,50MP + 2MP ,5MP,6000 mAh Battery,6000 ,Dimensity 6300 5G Processor,Dimensity 6300 5G 
"REDMI Note 14 SE 5G (Mystique White, 128 GB)",redmi,14999,4.1,6 GB RAM | 128 GB ROM,6,128,0,16.94 cm (6.67 inch) Full HD+ Display,16.94,Full HD+ Display,50MP + 8MP + 2MP | 20MP Front Camera,50MP + 8MP + 2MP ,20MP,5110 mAh Battery,5110 ,Dimensity 7025 Ultra Processor,Dimensity 7025 Ultra 
"POCO M6 Plus 5G (Graphite Black, 128 GB)",poco,9999,4.2,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,6,128,1024,17.25 cm (6.79 inch) Full HD+ Display,17.25,Full HD+ Display,108MP + 2MP | 13MP Front Camera,108MP + 2MP ,13MP,5030 mAh Battery,5030 ,Snapdragon 4 Gen2 AE Processor,Snapdragon 4 Gen2 AE 
"Motorola g45 5G (Brilliant Blue, 128 GB)",motorola,11999,4.3,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,8,128,1024,16.51 cm (6.5 inch) HD+ Display,16.51,HD+ Display,50MP + 2MP | 16MP Front Camera,50MP + 2MP ,16MP,5000 mAh Battery,5000 ,Snapdragon 6s Gen 3 Processor,Snapdragon 6s Gen 3 
"MOTOROLA g35 5G (Midnight Black, 128 GB)",motorola,9999,4.2,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,4,128,1024,17.07 cm (6.72 inch) Full HD+ Display,17.07,Full HD+ Display,50MP + 8MP | 16MP Front Camera,50MP + 8MP ,16MP,5000 mAh Battery,5000 ,T760 Processor,T760 
"Motorola g45 5G (Viva Magenta, 128 GB)",motorola,11999,4.3,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,8,128,1024,16.51 cm (6.5 inch) HD+ Display,16.51,HD+ Display,50MP + 2MP | 16MP Front Camera,50MP + 2MP ,16MP,5000 mAh Battery,5000 ,Snapdragon 6s Gen 3 Processor,Snapdragon 6s Gen 3 
"MOTOROLA g35 5G (Leaf Green, 128 GB)",motorola,9999,4.2,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,4,128,1024,17.07 cm (6.72 inch) Full HD+ Display,17.07,Full HD+ Display,50MP + 8MP | 16MP Front Camera,50MP + 8MP ,16MP,5000 mAh Battery,5000 ,T760 Processor,T760 
"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Sunset Peach, 128 GB)",oppo,11999,4.5,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB,4,128,2048,16.94 cm (6.67 inch) HD+ Display,16.94,HD+ Display,50MP + 2MP | 8MP Front Camera,50MP + 2MP ,8MP,6000 mAh Battery,6000 ,Dimensity 6300 Processor,Dimensity 6300 
"Motorola g45 5G (Brilliant Green, 128 GB)",motorola,11999,4.3,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,8,128,1024,16.51 cm (6.5 inch) HD+ Display,16.51,HD+ Display,50MP + 2MP | 16MP Front Camera,50MP + 2MP ,16MP,5000 mAh Battery,5000 ,Snapdragon 6s Gen 3 Processor,Snapdragon 6s Gen 3 
"POCO M7 5G (Ocean Blue, 128 GB)",poco,10499,4.2,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,8,128,1024,17.48 cm (6.88 inch) HD+ Display,17.48,HD+ Display,50MP Rear Camera | 8MP Front Camera,50MP ,8MP,5160 mAh Battery,5160 ,4 Gen 2 5G Processor,4 Gen 2 5G 
"vivo T4x 5G (Pronto Purple, 128 GB)",vivo,13999,4.4,6 GB RAM | 128 GB ROM,6,128,0,17.07 cm (6.72 inch) Display,17.07,Display,50MP + 2MP | 8MP Front Camera,50MP + 2MP ,8MP,6500 mAh Battery,6500 ,Dimensity 7300 5G Processor,Dimensity 7300 5G 
"POCO M7 5G (Mint Green, 128 GB)",poco,9499,4.1,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,6,128,1024,17.48 cm (6.88 inch) HD+ Display,17.48,HD+ Display,50MP Rear Camera | 8MP Front Camera,50MP ,8MP,5160 mAh Battery,5160 ,4 Gen 2 5G Processor,4 Gen 2 5G 
